,Composition,Formation Energy Per Atom,Corrected Energy
109,Fe2O14Pr4Sb2,-2.7882,-174.9326
110,N2Pr1W1,-1.1404,-38.9737
111,Dy1Rh6Sn10Th3,-0.7148,-125.4253
112,B8Fe8La1Lu1,-0.4496,-138.7456
113,Li4Nd3Si4Sn2Tm1,-0.6575,-65.3419
114,K3Pt7Si2,-0.4642,-62.2481
115,Na1P12Rh17Tm6,-1.0399,-255.7686
116,Si6Tb8Tm2,-0.6528,-89.0232
117,Dy16Ho4Ir10Pt2,-0.863,-220.1807
118,Ag4Ce4Ir4Y12,-0.492,-159.8227
119,Bi3In3Lu4Sc6,-0.5085,-84.1397
120,Pt4Sn2Sr10,-0.7143,-60.6268
121,B6Dy4Fe2Sm1,-0.4895,-86.525
122,Ac2Cr1Li1O6,-2.949,-78.9817
123,Co2O5Rb6,-1.3487,-62.373
124,Li4Pr6Pt13,-0.9301,-136.6358
125,Cd4Er12Ho4Ni3Ru1,-0.3225,-111.1884
126,Ir12La16Lu2Sm2,-0.7117,-226.2916
127,Ho1Lu19Pt12,-1.0996,-198.5189
128,Bi2Re1Tb3Tm3,-0.4962,-52.0211
129,Al13Ir6Lu2Si5Yb2,-0.7957,-163.2516
130,Bi1Dy8Sn5Tm2,-0.7164,-81.2058
131,F18Li6O9Tc6,-2.5867,-253.435
132,In8Ir4Sm10,-0.6006,-117.7664
133,Cu2Ru2Si4Tb2Tm2,-0.7654,-75.8542
134,Ho3Sc2Si6Y5,-0.699,-102.4808
135,B4Co3Cu2Dy3Ni6,-0.4953,-113.6571
136,Co5Er3In1Tm9,-0.2798,-97.3159
137,C12Fe2Nd6Ti2,-0.3276,-179.2684
138,Ho1Tc4Tm11,-0.1468,-97.6077
139,Co17Ho6Si12W1,-0.6926,-251.3299
140,C18Fe12Y11,-0.296,-350.9893
141,Cl40Cs6Si2Zr14,-2.1722,-344.5078
142,Cr1Pd2Pt4Ta1,-0.4424,-59.6933
143,Al3I2La4Pt1,-1.0438,-50.5378
144,Dy5Pt16Sc12Tb3,-1.1781,-252.4723
145,Al8N4Nb5Pt4Ti7,-1.084,-223.7208
146,Al2B4Co9Dy2Pr1,-0.4977,-121.1358
147,Ni6Sc1W1,-0.275,-56.1717
148,Ho2Lu1Mo4N12Y1,-1.1226,-186.0256
149,Co16Er1Ho3Li4P12,-0.8869,-236.573
150,Co4Er4H4Sb4,-0.712,-88.1834
151,Ba1O11Os2V2,-2.1689,-131.6722
152,B8Br10Nd2Sm6,-1.4593,-145.5942
153,B4Mo8Si2V2,-0.5296,-150.9741
154,Er1Li1Ni2Pt2,-0.6935,-34.343
155,Dy3Ho2Ir11P12Ru8,-0.9196,-292.4684
156,Co12Dy1Ge1Ho1P6,-0.7618,-147.4861
157,N2S1Se6,-0.399,-45.3758
158,Dy1Ho4O14Sb2Sm1,-3.4347,-180.7469
159,In4Se16Tc12,-0.7,-213.6699
160,Ac7Au20Na6Th1,-0.6626,-132.2293
161,As4Pr8Si4Yb2,-1.0063,-99.7774
162,Be2La3Si6Th1,-0.6366,-69.8923
163,Ge1Hg2Mg3Y3,-0.4901,-33.842
164,Ho2La4Nd4Ru4,-0.29,-89.1384
165,Cu17Pt1Si8Sr2,-0.2492,-129.5165
166,Be8C2Co3Mo12Ni1,-0.2775,-212.8376
167,C8Gd8Os4,-0.334,-238.1751
168,Co5Dy10Sb1Tb1Y1,-0.3148,-102.5062
169,As4Nb3V4Zr1,-0.6124,-101.1729
170,Ho1Tl5Y4,-0.3675,-45.9316
171,Al24Er6Os6Rh2,-0.6481,-224.0193
172,I2Se16Ta2V2,-0.8519,-119.6078
173,Ca1Er3Ho2Ru8Si24,-0.6266,-253.0863
174,Er8Hg1Nb1Si16Ti10,-0.7748,-240.6005
175,Co6Ni12P12Sc6,-0.9463,-249.0323
176,B4Ga2Lu1Rh10Tb3,-0.8276,-141.3928
177,Al2Au1Pd2Pt1Th3,-0.9232,-57.7462
178,Ga2Lu3Pt4,-1.1545,-54.2934
179,Pr8Rh1Si15,-0.6821,-143.3618
180,Cs4Mg2Se8Ti2,-1.508,-74.6682
181,B20Mg3Nb1Ta6,-0.5831,-237.1292
182,I12Ni1Sm5Tb1Yb1,-1.5093,-84.0215
183,B2Cl15Sm10,-2.1276,-145.717
184,Co4Rh1Sn1Tb11Tm1,-0.3577,-101.6996
185,Cs4Ge4La1Nd3Se16,-1.4362,-137.4632
186,B24Ca2Ce2Lu4Ru4,-0.6419,-254.474
187,La3Li4Pr1Si8,-0.5754,-79.8336
188,Al4Cl16Sn2,-1.8466,-93.204
189,Br35H1,-0.5049,-78.8607
190,Gd4Mo2N8W2,-1.2424,-190.4819
191,Bi4Co4Nd20Sn4,-0.5266,-172.2452
192,Co6Er2Ga6Ni3Th1,-0.4644,-103.0674
193,Au4In9Lu11,-0.5797,-101.5036
194,Ge1Ir2P2Ru1Sc3,-1.1275,-71.5457
195,Ce3Dy1Rh4Sn2,-0.865,-68.5323
196,B24Sc7Tc4U1,-0.7508,-284.3936
197,Al6Mo3Ru12Ti3,-0.6123,-204.6847
198,Ir1Mg1Pd2Pr3Zn2,-0.6484,-43.4965
199,Ir12La16Lu3Y1,-0.7322,-228.4968
200,Co6Th12Tm2,-0.2594,-145.7568
201,B24Pu4Re4Sc4,-0.6771,-316.8618
202,Hg2Pd4Yb10,-0.6858,-47.6957
203,Co3Fe1Ho12Mg4Th4,-0.1692,-124.9004
204,Al4Dy12Ni4Y4,-0.3309,-127.191
205,Co1Os3Pm2,-0.1445,-51.1586
206,Ag2Bi4Ca1Th1,-0.4134,-33.9519
207,Pt6Sb1Zn17Zr6,-0.5573,-129.9745
208,Cd6Os1Rh1Tm18Y2,-0.2928,-125.8263
209,Co4Sn23Tc2Tm7,-0.3726,-186.1175
210,B4Ge2Lu4Rh2Ru8,-0.6355,-155.6806
211,Dy20Sc4Te12,-1.018,-191.8328
212,Li4Nd4Pd13Sm2,-0.7359,-120.4105
213,Al6Ge2Ta18Zn2,-0.2538,-254.7855
214,Np1P20Yb3,-0.5419,-138.8394
215,Cl30Ir6Sm22,-2.0944,-333.7719
216,Dy1Mo4O14Tb2Y1,-2.9449,-197.7841
217,C2Er1P2Ru4Y1,-0.6732,-84.1441
218,Ho2Lu3Mn1Sb2Tb1,-0.6116,-50.2864
219,Li1P6Pd20Pr2,-0.6648,-166.8262
220,B24Fe4Lu7Yb1,-0.6648,-251.3045
221,Br12Mn8O2,-1.3777,-133.1455
222,Al8Er2Ru8Th6,-0.6618,-173.6617
223,Ba4Ga4Ge1O14Si1,-2.8093,-166.5314
224,Br6Cs2O18Zr1,-0.9533,-134.9622
225,P1Pb6S1Y10,-0.9486,-113.5656
226,Ce1Ho1Mn1N3,-1.45,-53.387
227,Er4Mo1Ru5Tc2,-0.3309,-100.181
228,F28Gd4Ti4,-4.0505,-287.2242
229,Ac1H1Te1,-1.4451,-14.9925
230,B1Br20Hf4Rb8Zr2,-1.8599,-169.2829
231,Lu10Rh4,-0.6582,-83.8816
232,Er4Mn1Ni13,-0.4072,-109.9051
233,Au1Sc12Si15Th8,-0.7847,-248.2047
234,Si16Sm4Ta12Th4,-0.6516,-301.0871
235,Bi6Cl2Nd6Th4,-1.0365,-103.9583
236,Ni10P6Pr2,-0.7861,-113.993
237,Au2Cd1Cu1Hg2Ho3,-0.5712,-31.065
238,Pd8Pt4Sm2Th2,-0.967,-105.4594
239,Bi3Ho6In3Y4,-0.5714,-82.4285
240,Ca2Ir12La3Pr15,-0.5949,-215.6312
241,Cd3O14Sb1Sr1Ta3,-2.6771,-172.3284
242,La8Sn6Y2,-0.7302,-88.1616
243,Al13Co6Fe1Hf6Ta3,-0.5355,-210.6573
244,B24Dy4Er4Ir3Rh1,-0.6619,-254.7129
245,Al2Hf3Ni1Zr3,-0.3626,-72.049
246,Al6Hf6Pd2Pt4,-0.955,-134.0492
247,Co2I17Tb12,-1.3426,-137.3582
248,Ir16Na5P12Rh3,-0.5521,-254.9573
249,Cd1Nb9Se16,-1.1387,-177.3753
250,Ho1In20Lu3Y8,-0.4536,-139.4267
251,Ag1Dy1Tb1Zn1,-0.3441,-14.71
252,B12Os12Ta11Tm1,-0.581,-370.7083
253,Ir5Re1Si10Th4,-0.9352,-159.2494
254,Cl12Ir4Nd9Pr3,-1.8599,-166.8703
255,C8Cr2Dy8Ru2,-0.3443,-155.4097
256,Ir6Lu7Sn23,-0.4935,-194.6643
257,Cd4Ir4Tb6Th4Y6,-0.5432,-148.3422
258,Ba3O9Tm3Y1,-3.609,-127.9263
259,Eu1Pt3Sn3Th1Yb1,-1.0131,-58.6052
260,B24Ho2Re1Ru3Tm6,-0.7128,-262.252
261,As3Br18Cs2Rb4Sc1,-1.5982,-100.2364
262,As7Ca2Rh9Ti3,-0.832,-144.0614
263,B28Li2Tm2,-0.2879,-209.0069
264,Ge1Pt6Zn17Zr6,-0.5661,-130.7337
265,Ni16P12Pr6Sc2,-0.9879,-234.3564
266,Dy20Ir3Rh8Ru1,-0.7436,-210.6349
267,Lu1Nd8Sn6Tm1,-0.695,-82.3198
268,As4Ca1Mn2Rh4,-0.5659,-74.648
269,C7Gd4Ho1W2,-0.3346,-156.0744
270,Dy24Mo1Tc7,-0.0698,-196.1657
271,Fe6Mn11P12Tb4Ti3,-0.8764,-290.3358
272,B24Ho4Re4Sm4,-0.6056,-269.0892
273,Au1Cu2Pt2Th1,-0.68,-35.1077
274,Cu7Fe1N4Ta16,-0.4825,-273.7436
275,Bi2Ce2Co2Sb2,-0.6072,-46.9783
276,Al20Re3Ru1Th2,-0.3949,-146.6135
277,B4Ho1Lu1Ru10Ta4,-0.5663,-187.3215
278,Au8Cd3Sr20Zn1,-0.5192,-80.6225
279,B4Co9Si2Tm3,-0.6151,-126.0423
280,Ag12Er1Ge12Yb11,-0.5294,-130.0303
281,Cu4Ga4Pa1Tb1,-0.346,-46.1177
282,Cd4Dy4Er2Pt4Tm10,-0.6223,-115.2313
283,Ag1Ho3Li2Sn3,-0.6351,-38.1418
284,Na3Pr5Te8,-1.5766,-78.2444
285,Er3Hf5Rb4S16,-2.0163,-190.051
286,As8Na10Sr2Ta2,-0.6096,-91.0031
287,Bi1Co4Dy1Ho11Ir1,-0.3887,-103.1712
288,Ac6Li4Sb6,-1.0482,-73.9079
289,Bi3Ir4O14Sr1,-1.6319,-153.8856
290,In2Ni4Pa4,-0.3813,-70.4951
291,I18Pr1Tc1,-0.6484,-55.5424
292,B24Ce3Ho5Re4,-0.6524,-274.2813
293,In2Pt3Sc1Yb3,-0.9701,-43.3987
294,Al18Co2Er6Os6Si6,-0.6646,-234.2133
295,K2O12W4,-2.2471,-153.8765
296,C8Lu7Os2Re2Tb1,-0.4558,-166.5546
297,B4Co5La1Yb1,-0.4499,-73.6837
298,As1F12K6Sc1,-3.191,-104.4108
299,Ag3Mg1Rh4Tm1Y15,-0.4498,-151.8228
300,B24Ca3Os4Zr5,-0.6332,-276.7643
301,Er1H24Th7,-0.6333,-158.1552
302,Al7Cu16Er5Lu1,-0.379,-130.1563
303,Er1Li4O16Si4Y3,-3.421,-228.2593
304,F18Pt1S2,-1.8913,-88.4667
305,As1La1Pd20Pr2Si5,-0.7722,-172.2747
306,Pr3Pt4Zn4,-0.8492,-53.0062
307,Na1Nd1Pt4,-0.8065,-35.2135
308,B1Hf4I20Rb8Zr2,-1.4088,-151.2347
309,Fe2Ho6Ru2Si6,-0.7665,-107.7996
310,Ba3Mn4Ni2P6,-0.7944,-98.3606
311,P2Ru10Ta4,-0.4413,-158.0626
312,Mg4O8Pd2,-2.1003,-85.7482
313,Co16Ho5Nb3P9Si3,-0.9422,-265.8653
314,Ca5Sb6U1Yb2,-0.9997,-63.168
315,Rb1Se1Te5Th2,-1.4626,-48.1838
316,C9La4Os4Pr3,-0.268,-167.3973
317,Hf4Ho1Pt15,-1.0898,-157.2703
318,Fe1Hf12Ir6Tc5,-0.8302,-252.7145
319,Mn4N12Sr2Yb8,-1.1376,-181.9595
320,Bi6O14Tb2,-2.1278,-148.6913
321,B1Co6Zr2,-0.3628,-69.6901
322,Dy1Lu5Pb16Tb14,-0.5307,-170.6015
323,Al8Fe1Mn3Th1,-0.3513,-77.9018
324,Al8B1Co4N3Ta12,-0.6971,-251.8999
325,Ba6Nb7O21,-3.1966,-294.814
326,Cd1Ir4Mg3Pr14Th2,-0.385,-132.0772
327,Bi4Ca10Pb2,-0.7504,-55.0486
328,Dy5Hf9Si16Tb3W3,-0.7753,-280.1425
329,Ca4La4Ru4Y2,-0.234,-81.0735
330,Fe4Ir16P12Tb4,-0.7676,-286.4264
331,Ba6O18Tb2Tc4,-2.8321,-236.2512
332,Co1Ga4Ni1Tm2,-0.6008,-38.7587
333,Cu2Ho7Te2,-0.6451,-53.6574
334,Co12Mo1Si5Tm6,-0.5551,-163.4491
335,C2Dy4Ho2I7,-1.2553,-75.5433
336,Tc4Tm6,-0.1665,-69.9625
337,Ac6Ba14Sn16,-0.6874,-140.4927
